Column1;Content ID;ReactionType;Categorie;Contentype;Sentiment ;Score;Catégory Unique; Total Score ;Datetime;
15;97522e57-d9ab-4bd6-97bf-c24d952602d2;scared;Studying;photo;negative;15;Animals;74965;03/09/2020;
9;97522e57-d9ab-4bd6-97bf-c24d952602d2;peeking;Studying;photo;neutral;35;science;71168;01/04/2021;
2;97522e57-d9ab-4bd6-97bf-c24d952602d2;dislike;Studying;photo;negative;10;healthy eating;69339;17/06/2021;
3;97522e57-d9ab-4bd6-97bf-c24d952602d2;scared;Studying;photo;negative;15;technology;68738;18/04/2021;
4;97522e57-d9ab-4bd6-97bf-c24d952602d2;disgust;Studying;photo;negative;0;food;66676;06/01/2021;
16;97522e57-d9ab-4bd6-97bf-c24d952602d2;super love;Studying;photo;positive;75;culture;66579;24/02/2021;
11;97522e57-d9ab-4bd6-97bf-c24d952602d2;indifferent;Studying;photo;neutral;20;travel;64880;07/11/2020;
5;97522e57-d9ab-4bd6-97bf-c24d952602d2;interested;Studying;photo;positive;30;cooking;64756;23/08/2020;
7;97522e57-d9ab-4bd6-97bf-c24d952602d2;cherish;Studying;photo;positive;70;soccer;57783;11/04/2021;
13;97522e57-d9ab-4bd6-97bf-c24d952602d2;interested;Studying;photo;positive;30;education;57436;01/11/2020;
12;97522e57-d9ab-4bd6-97bf-c24d952602d2;scared;Studying;photo;negative;15;fitness;55323;02/11/2020;
1;97522e57-d9ab-4bd6-97bf-c24d952602d2;disgust;Studying;photo;negative;0;Studying;54269;07/11/2020;
6;97522e57-d9ab-4bd6-97bf-c24d952602d2;peeking;Studying;photo;neutral;35;dogs;52511;07/12/2020;
10;97522e57-d9ab-4bd6-97bf-c24d952602d2;love;Studying;photo;positive;65;tennis;50339;04/08/2020;
14;97522e57-d9ab-4bd6-97bf-c24d952602d2;hate;Studying;photo;negative;5;veganism;49619;07/10/2020;
8;97522e57-d9ab-4bd6-97bf-c24d952602d2;hate;Studying;photo;negative;5;public speaking;49264;27/01/2021;
18;97522e57-d9ab-4bd6-97bf-c24d952602d2;indifferent;Studying;photo;neutral;20;;0;24/02/2021;
19;97522e57-d9ab-4bd6-97bf-c24d952602d2;interested;Studying;photo;positive;30;;0;22/05/2021;
20;97522e57-d9ab-4bd6-97bf-c24d952602d2;intrigued;Studying;photo;positive;45;;0;31/01/2021;
21;97522e57-d9ab-4bd6-97bf-c24d952602d2;peeking;Studying;photo;neutral;35;;0;20/11/2020;
22;97522e57-d9ab-4bd6-97bf-c24d952602d2;worried;Studying;photo;negative;12;;0;11/04/2021;
23;97522e57-d9ab-4bd6-97bf-c24d952602d2;like;Studying;photo;positive;50;;0;13/06/2021;
24;97522e57-d9ab-4bd6-97bf-c24d952602d2;heart;Studying;photo;positive;60;;0;11/04/2021;
25;97522e57-d9ab-4bd6-97bf-c24d952602d2;worried;Studying;photo;negative;12;;0;02/03/2021;
26;97522e57-d9ab-4bd6-97bf-c24d952602d2;hate;Studying;photo;negative;5;;0;27/06/2020;
27;97522e57-d9ab-4bd6-97bf-c24d952602d2;hate;Studying;photo;negative;5;;0;09/05/2021;
28;97522e57-d9ab-4bd6-97bf-c24d952602d2;cherish;Studying;photo;positive;70;;0;04/08/2020;
29;97522e57-d9ab-4bd6-97bf-c24d952602d2;super love;Studying;photo;positive;75;;0;28/08/2020;
30;97522e57-d9ab-4bd6-97bf-c24d952602d2;intrigued;Studying;photo;positive;45;;0;25/08/2020;
31;97522e57-d9ab-4bd6-97bf-c24d952602d2;scared;Studying;photo;negative;15;;0;20/04/2021;
32;97522e57-d9ab-4bd6-97bf-c24d952602d2;interested;Studying;photo;positive;30;;0;07/03/2021;
33;97522e57-d9ab-4bd6-97bf-c24d952602d2;indifferent;Studying;photo;neutral;20;;0;24/05/2021;
34;97522e57-d9ab-4bd6-97bf-c24d952602d2;super love;Studying;photo;positive;75;;0;24/01/2021;
35;97522e57-d9ab-4bd6-97bf-c24d952602d2;disgust;Studying;photo;negative;0;;0;09/04/2021;
36;97522e57-d9ab-4bd6-97bf-c24d952602d2;super love;Studying;photo;positive;75;;0;02/02/2021;
37;97522e57-d9ab-4bd6-97bf-c24d952602d2;interested;Studying;photo;positive;30;;0;04/02/2021;
38;97522e57-d9ab-4bd6-97bf-c24d952602d2;dislike;Studying;photo;negative;10;;0;09/11/2020;
39;97522e57-d9ab-4bd6-97bf-c24d952602d2;scared;Studying;photo;negative;15;;0;29/09/2020;
40;97522e57-d9ab-4bd6-97bf-c24d952602d2;dislike;Studying;photo;negative;10;;0;29/11/2020;
41;97522e57-d9ab-4bd6-97bf-c24d952602d2;want;Studying;photo;positive;70;;0;13/02/2021;
42;97522e57-d9ab-4bd6-97bf-c24d952602d2;interested;Studying;photo;positive;30;;0;14/07/2020;
43;97522e57-d9ab-4bd6-97bf-c24d952602d2;indifferent;Studying;photo;neutral;20;;0;23/08/2020;
44;97522e57-d9ab-4bd6-97bf-c24d952602d2;worried;Studying;photo;negative;12;;0;10/05/2021;
45;97522e57-d9ab-4bd6-97bf-c24d952602d2;hate;Studying;photo;negative;5;;0;15/03/2021;
47;9f737e0a-3cdd-4d29-9d24-753f4e3be810;dislike;healthy eating;photo;negative;10;;0;25/06/2020;
48;9f737e0a-3cdd-4d29-9d24-753f4e3be810;intrigued;healthy eating;photo;positive;45;;0;13/09/2020;
49;9f737e0a-3cdd-4d29-9d24-753f4e3be810;peeking;healthy eating;photo;neutral;35;;0;20/08/2020;
50;9f737e0a-3cdd-4d29-9d24-753f4e3be810;scared;healthy eating;photo;negative;15;;0;11/02/2021;
51;9f737e0a-3cdd-4d29-9d24-753f4e3be810;hate;healthy eating;photo;negative;5;;0;08/03/2021;
52;9f737e0a-3cdd-4d29-9d24-753f4e3be810;disgust;healthy eating;photo;negative;0;;0;28/03/2021;
53;9f737e0a-3cdd-4d29-9d24-753f4e3be810;hate;healthy eating;photo;negative;5;;0;25/05/2021;
54;9f737e0a-3cdd-4d29-9d24-753f4e3be810;like;healthy eating;photo;positive;50;;0;15/03/2021;
55;9f737e0a-3cdd-4d29-9d24-753f4e3be810;love;healthy eating;photo;positive;65;;0;05/05/2021;
56;9f737e0a-3cdd-4d29-9d24-753f4e3be810;love;healthy eating;photo;positive;65;;0;31/08/2020;
57;9f737e0a-3cdd-4d29-9d24-753f4e3be810;heart;healthy eating;photo;positive;60;;0;16/06/2021;
58;9f737e0a-3cdd-4d29-9d24-753f4e3be810;indifferent;healthy eating;photo;neutral;20;;0;07/07/2020;
59;9f737e0a-3cdd-4d29-9d24-753f4e3be810;peeking;healthy eating;photo;neutral;35;;0;20/08/2020;
60;9f737e0a-3cdd-4d29-9d24-753f4e3be810;love;healthy eating;photo;positive;65;;0;23/09/2020;
61;9f737e0a-3cdd-4d29-9d24-753f4e3be810;like;healthy eating;photo;positive;50;;0;24/03/2021;
63;230c4e4d-70c3-461d-b42c-ec09396efb3f;hate;healthy eating;photo;negative;5;;0;07/12/2020;
64;230c4e4d-70c3-461d-b42c-ec09396efb3f;super love;healthy eating;photo;positive;75;;0;03/08/2020;
65;230c4e4d-70c3-461d-b42c-ec09396efb3f;adore;healthy eating;photo;positive;72;;0;10/01/2021;
66;230c4e4d-70c3-461d-b42c-ec09396efb3f;scared;healthy eating;photo;negative;15;;0;20/09/2020;
67;230c4e4d-70c3-461d-b42c-ec09396efb3f;cherish;healthy eating;photo;positive;70;;0;20/07/2020;
68;230c4e4d-70c3-461d-b42c-ec09396efb3f;adore;healthy eating;photo;positive;72;;0;24/10/2020;
69;230c4e4d-70c3-461d-b42c-ec09396efb3f;interested;healthy eating;photo;positive;30;;0;06/06/2021;
70;230c4e4d-70c3-461d-b42c-ec09396efb3f;heart;healthy eating;photo;positive;60;;0;25/12/2020;
71;230c4e4d-70c3-461d-b42c-ec09396efb3f;like;healthy eating;photo;positive;50;;0;14/06/2021;
72;230c4e4d-70c3-461d-b42c-ec09396efb3f;like;healthy eating;photo;positive;50;;0;05/06/2021;
73;230c4e4d-70c3-461d-b42c-ec09396efb3f;hate;healthy eating;photo;negative;5;;0;18/11/2020;
74;230c4e4d-70c3-461d-b42c-ec09396efb3f;interested;healthy eating;photo;positive;30;;0;09/05/2021;
75;230c4e4d-70c3-461d-b42c-ec09396efb3f;dislike;healthy eating;photo;negative;10;;0;11/05/2021;
76;230c4e4d-70c3-461d-b42c-ec09396efb3f;peeking;healthy eating;photo;neutral;35;;0;12/11/2020;
77;230c4e4d-70c3-461d-b42c-ec09396efb3f;heart;healthy eating;photo;positive;60;;0;21/06/2020;
78;230c4e4d-70c3-461d-b42c-ec09396efb3f;super love;healthy eating;photo;positive;75;;0;04/03/2021;
79;230c4e4d-70c3-461d-b42c-ec09396efb3f;want;healthy eating;photo;positive;70;;0;09/07/2020;
80;230c4e4d-70c3-461d-b42c-ec09396efb3f;hate;healthy eating;photo;negative;5;;0;01/08/2020;
81;230c4e4d-70c3-461d-b42c-ec09396efb3f;dislike;healthy eating;photo;negative;10;;0;23/11/2020;
82;230c4e4d-70c3-461d-b42c-ec09396efb3f;scared;healthy eating;photo;negative;15;;0;11/12/2020;
83;230c4e4d-70c3-461d-b42c-ec09396efb3f;dislike;healthy eating;photo;negative;10;;0;23/04/2021;
84;230c4e4d-70c3-461d-b42c-ec09396efb3f;want;healthy eating;photo;positive;70;;0;13/11/2020;
85;230c4e4d-70c3-461d-b42c-ec09396efb3f;interested;healthy eating;photo;positive;30;;0;09/06/2021;
86;230c4e4d-70c3-461d-b42c-ec09396efb3f;love;healthy eating;photo;positive;65;;0;29/10/2020;
87;230c4e4d-70c3-461d-b42c-ec09396efb3f;heart;healthy eating;photo;positive;60;;0;14/05/2021;
88;230c4e4d-70c3-461d-b42c-ec09396efb3f;disgust;healthy eating;photo;negative;0;;0;04/08/2020;
89;230c4e4d-70c3-461d-b42c-ec09396efb3f;adore;healthy eating;photo;positive;72;;0;07/08/2020;
90;230c4e4d-70c3-461d-b42c-ec09396efb3f;adore;healthy eating;photo;positive;72;;0;23/10/2020;
91;230c4e4d-70c3-461d-b42c-ec09396efb3f;adore;healthy eating;photo;positive;72;;0;14/11/2020;
92;230c4e4d-70c3-461d-b42c-ec09396efb3f;worried;healthy eating;photo;negative;12;;0;04/08/2020;
93;230c4e4d-70c3-461d-b42c-ec09396efb3f;interested;healthy eating;photo;positive;30;;0;12/11/2020;
